time,rr_interval,lf,hf,lf_hf_ratio,hr,mean_hr,max_hr,min_hr,rmssd,sdnn,breath_rate
187,718,2773.695851603744,323.5876806825641,8.571697926673261,80.84522980501393,69.23599514145393,83.44565560556624,57.94323137295757,38.26372537415432,72.62526142370461,14.0
188,750,2763.790208205268,319.582083238672,8.648138782364715,81.78272980501393,69.30533482008418,83.44565560556624,57.94323137295752,38.27206152381553,73.28799376369795,13.5
190,899,2741.567098129817,318.395516744422,8.610570670599264,73.37041156840934,69.3611709069595,83.44565560556624,57.94323137295879,38.70600730654746,73.57692165093526,13.5
190,881,2707.6954478717253,317.4888962424344,8.528472900684156,67.42262496227994,69.31434148987437,83.44565560556624,57.94323137295681,38.77498273063621,73.3157836579614,13.0
191,859,2654.8419359060426,321.6179136489463,8.254645724752343,68.97654401086712,69.3305196857179,83.44565560556624,57.94323137295935,38.731562533354285,73.4302784536903,13.0
192,911,2596.2011852310256,324.9954948739796,7.9884220740897645,67.85517584202395,69.34768807725,83.44565560556624,57.9432313729736,38.81868826999336,73.85883015493657,13.0
193,910,2531.2949821839607,330.41039179017474,7.661063468583171,65.8978781920604,69.23463784798757,83.44565560556624,57.943231372956504,38.68444522105657,73.07433038649434,13.0
194,869,2454.919445113007,337.06733535489724,7.283172196226696,67.48947255276369,69.14706680769046,83.44565560556624,57.94323137290195,38.54011491776058,72.77156510556124,13.5
194,855,2360.735902360757,348.6785780887883,6.770521766208459,69.61015888397634,69.10406167149098,83.44565560556624,57.94323137277166,38.7092878627769,72.90865267135358,13.0
195,903,2252.603421865409,360.14156614070566,6.254772105326291,68.31031066037187,69.21476850351674,83.44565560556624,57.94323137317554,38.12569620392904,73.07027871786822,13.0
196,956,2152.2995234929663,371.60424579179767,5.791913165327116,64.60334450020156,69.20592367597591,83.44565560556624,57.94323137359897,38.2464374120546,73.58351773319312,13.0
197,903,2057.834527096955,382.79035780715014,5.375878689540274,64.60334450020156,69.07480509533512,83.44565560556624,57.943231372856346,38.11523547339161,72.70099260787887,13.5
198,954,1954.3227501293707,394.87338285157364,4.949239009264821,64.66913224262939,68.99006757633393,83.44565560556624,57.943231372022524,38.15029936072347,72.58814202112013,13.0
199,842,1848.380504412123,410.5446113867446,4.502264682438851,67.07599456221337,69.00692012011119,83.44565560556624,57.94323137509725,38.36468395642208,72.86760260178573,13.5
